Organization,num_pubs,# of Pubs (recent),Cited by,Cited by (recent),H-index,H-index (recent),H-index (m),G-index,G-index (recent),i10-index,i10-index (recent),lat,lon
Villanova University,1,1,8,8,1,1,1,1,1,0,0,,
Virginia Polytechnic Institute and State University,10,7,129,45,5,2,0.714,10,7,4,2,,
University of Nevada-Reno,3,2,5,2,2,1,0.333,3,2,0,0,,
Ludwig Maximilian University of Munich,1,1,0,0,0,0,0,0,0,0,0,,
Burnham Institute,1,1,16,16,1,1,1,1,1,1,1,,
George Mason University,5,5,171,171,2,2,0.5,5,5,1,1,,
University of Cordoba,1,0,9,0,1,0,1,1,0,0,0,,
National Energy Technology Laboratory,1,1,0,0,0,0,0,0,0,0,0,,
Max Planck Institute for Gravitational Physics Albert Einstein Institute,9,9,231,231,7,7,1.4,9,9,5,5,,
Indiana University,42,23,2216,884,13,5,1,42,23,13,4,,
University of Toronto,14,14,180,180,7,7,1.4,14,14,6,6,,
Dartmouth College,1,1,3,3,1,1,1,1,1,0,0,,
Stevens Institute of Technology,1,1,9,9,1,1,1,1,1,0,0,,
Stanford University/ University of Cambridge,1,1,6,6,1,1,1,1,1,0,0,,
University of Texas Health Science Center at Houston,3,3,8,8,2,2,1,3,3,0,0,,
iPlant Collaborative,1,0,110,0,1,0,1,1,0,1,0,,
University of Trento,4,4,137,137,2,2,1,4,4,2,2,,
Eastern Michigan University,1,1,0,0,0,0,0,0,0,0,0,,
University of Houston-Clear Lake,2,2,0,0,0,0,0,0,0,0,0,,
"Predictive Science, Inc.",2,2,4,4,1,1,0.5,2,2,0,0,,
University of Florida,15,14,65,56,4,4,0.571,8,8,2,2,,
University of Reims Champagne-Ardenne,1,1,0,0,0,0,0,0,0,0,0,,
"University of Maryland, Eastern Shore",1,1,3,3,1,1,1,1,1,0,0,,
University of Texas Medical Branch at Galveston,7,6,25,19,3,2,0.5,5,5,1,1,,
Miami University,2,2,6,6,1,1,0.5,2,2,0,0,,
Merrimack College,2,2,2,2,1,1,0.5,2,2,0,0,,
SUNY Health Science Center at Brooklyn,1,1,5,5,1,1,1,1,1,0,0,,
Brookhaven National Laboratory,11,5,755,54,7,2,1,11,5,7,2,,
Univerisity of the Virgin Islands,1,1,6,6,1,1,1,1,1,0,0,,
University of Richmond,1,1,6,6,1,1,1,1,1,0,0,,
San Jose State University,2,2,8,8,2,2,2,2,2,0,0,,
University of Washington,33,28,564,451,11,8,1,24,22,11,7,,
Fred Hutchinson Cancer Research Center,1,1,0,0,0,0,0,0,0,0,0,,
University of Hamburg,1,1,7,7,1,1,1,1,1,0,0,,
City University of New York,3,1,43,6,3,1,0.273,3,1,2,0,,
University of Kentucky,11,9,114,75,6,4,0.429,11,9,6,4,,
Southern Methodist University,1,1,11,11,1,1,1,1,1,1,1,,
Jan Evangelista Purkyne University,2,2,7,7,2,2,2,2,2,0,0,,
National Institute for Computational Sciences,5,3,317,154,2,1,0.222,5,3,2,1,,
University of Erlangen-Nuremberg,1,1,0,0,0,0,0,0,0,0,0,,
Globus / University of chicago,1,1,0,0,0,0,0,0,0,0,0,,
Konkuk University,1,1,0,0,0,0,0,0,0,0,0,,
Grand Valley State University,1,1,2,2,1,1,1,1,1,0,0,,
University of Central Florida,10,10,29,29,3,3,0.75,6,6,1,1,,
University of Texas MD Anderson Cancer Center,2,2,2,2,1,1,0.5,2,2,0,0,,
Dalhousie University,1,0,30,0,1,0,1,1,0,1,0,,
Oregon Health and Science University,3,3,123,123,3,3,1.5,3,3,2,2,,
"Shodor Education Foundation, Inc.",2,1,315,152,2,1,0.286,2,1,2,1,,
Seattle University,1,1,0,0,0,0,0,0,0,0,0,,
Polish Academy of Sciences,1,0,48,0,1,0,1,1,0,1,0,,
Harvard University,28,27,417,406,10,10,0.909,21,21,11,10,,
Lawrence Livermore National Laboratory,9,4,518,21,4,2,0.19,9,4,4,1,,
Marquette University,3,3,19,19,1,1,0.333,3,3,1,1,,
University of Pittsburgh School of Medicine,7,7,47,47,4,4,1,7,7,2,2,,
Jiangxi Agricultural University,1,1,715,715,1,1,1,1,1,1,1,,
University of Heidelberg,1,1,1,1,1,1,1,1,1,0,0,,
"University of Colorado, Boulder",25,19,403,321,9,6,1.125,21,18,9,5,,
Wichita State University,1,1,0,0,0,0,0,0,0,0,0,,
Renaissance Computing Institute,1,0,163,0,1,0,1,1,0,1,0,,
CUNY The City College of New York,6,5,20,17,3,3,0.6,5,5,0,0,,
University of Louisville,1,1,0,0,0,0,0,0,0,0,0,,
university of michigan Medical School,2,0,13,0,2,0,2,2,0,1,0,,
National Center for Supercomputing Applications,1,1,1,1,1,1,1,1,1,0,0,,
Icahn School of Medicine at Mount Sinai,12,11,112,77,6,5,0.75,11,9,3,2,,
Chevron Corporation,1,1,1,1,1,1,1,1,1,0,0,,
St. John's University,1,0,27,0,1,0,1,1,0,1,0,,
The University of Melbourne,1,1,2,2,1,1,1,1,1,0,0,,
"Pennsylvania State University, University Park",2,2,41,41,2,2,0.4,2,2,2,2,,
USDA Agricultural Research Service,2,2,719,719,2,2,0.667,2,2,1,1,,
University of Houston,11,11,104,104,4,4,1,11,11,4,4,,
"University of Maryland, Baltimore County",12,10,1011,914,7,6,1.4,12,10,6,5,,
Harvard Medical School,2,2,10,10,1,1,1,2,2,1,1,,
Mercer University,1,1,0,0,0,0,0,0,0,0,0,,
University of Texas at El Paso,4,4,19,19,2,2,0.667,4,4,1,1,,
Nvidia Corporation,6,3,165,66,5,2,1.667,6,3,4,1,,
"University of Puerto Rico, Medical Sciences Campus",1,0,7,0,1,0,1,1,0,0,0,,
Andritz Automation,2,2,9,9,2,2,0.667,2,2,0,0,,
"University of California, Santa Barbara",58,48,1273,671,17,13,1.545,36,26,22,13,,
Idaho National Laboratory,1,1,12,12,1,1,1,1,1,1,1,,
University of L'Aquila,2,1,41,3,2,1,0.2,2,1,1,0,,
"Rutgers, the State University of New Jersey",48,45,289,249,9,9,1.286,16,15,9,8,,
Lawrence Berkeley National Laboratory,5,5,50,50,3,3,0.75,5,5,2,2,,
University of Tubingen,1,1,0,0,0,0,0,0,0,0,0,,
"University of California, Santa Cruz",3,3,201,201,3,3,1.5,3,3,2,2,,
Dresden University of Technology,2,2,715,715,1,1,0.333,2,2,1,1,,
"Texas A&M University, Commerce",1,1,1,1,1,1,1,1,1,0,0,,
"Institute of High Energy Physics, CAS",1,1,0,0,0,0,0,0,0,0,0,,
Florida International University,1,1,10,10,1,1,1,1,1,1,1,,
Princeton University,33,33,587,587,13,13,2.6,25,25,17,17,,
San Diego Supercomputer Center,14,8,229,14,5,2,0.5,14,4,3,0,,
Marian University,1,1,3,3,1,1,1,1,1,0,0,,
"University of Alabama, Birmingham",1,1,2,2,1,1,1,1,1,0,0,,
Swarthmore College,3,2,30,6,2,1,0.667,3,2,1,0,,
Harvard-Smithsonian Center for Astrophysics,1,1,257,257,1,1,1,1,1,1,1,,
Long Island University,2,2,2,2,1,1,0.5,2,2,0,0,,
University of Wyoming,1,1,0,0,0,0,0,0,0,0,0,,
Purdue University,40,28,765,451,8,6,0.533,28,22,8,4,,
Massachusetts Institute of Technology,78,74,1267,990,17,16,1.889,34,30,29,27,,
University of Notre Dame,14,14,37,37,3,3,0.75,6,6,1,1,,
Fermi National Accelerator Laboratory,11,4,493,3,5,1,0.625,11,2,5,0,,
University of Jena,4,3,87,85,2,2,0.4,4,3,2,2,,
Florida A&M University,1,1,0,0,0,0,0,0,0,0,0,,
"University of Missouri, Kansas City",2,2,0,0,0,0,0,0,0,0,0,,
University of Kansas,23,22,158,148,7,7,1.167,13,12,5,4,,
Swiss Federal Institute of Technology in Lausanne,1,1,0,0,0,0,0,0,0,0,0,,
Haverford College,3,3,159,159,3,3,0.75,3,3,2,2,,
Computational Infrastructure for Geodynamics,1,0,24,0,1,0,1,1,0,1,0,,
University of Tokyo,1,1,0,0,0,0,0,0,0,0,0,,
University of Oregon,4,4,15,15,2,2,1,4,4,0,0,,
Salk Institute for Biological Studies,4,3,157,140,4,3,0.167,4,3,4,3,,
University of Delaware,23,20,562,113,8,6,1,23,11,6,4,,
University of Calgary,2,2,11,11,2,2,1,2,2,0,0,,
Duke University,4,2,58,2,2,1,0.286,4,2,2,0,,
Tufts University,1,1,7,7,1,1,1,1,1,0,0,,
SUNY at Stony Brook,16,11,531,52,7,4,0.538,16,8,5,1,,
University of Georgia,3,2,21,8,3,2,0.75,3,2,1,0,,
Northern Illinois University,2,1,164,1,1,1,0.2,2,1,1,0,,
University of Sussex,2,2,65,65,2,2,1,2,2,2,2,,
University of Gdansk,1,1,8,8,1,1,1,1,1,0,0,,
University of Alberta,1,1,3,3,1,1,1,1,1,0,0,,
"University of Tennessee, Knoxville",28,27,350,240,8,7,1.333,19,16,6,5,,
Clark University,1,1,4,4,1,1,1,1,1,0,0,,
Oak Ridge National Laboratory,15,13,241,78,5,4,0.556,15,9,3,2,,
Rice University,24,20,338,216,10,9,1.111,19,15,11,8,,
University of Vienna,3,3,88,88,2,2,1,3,3,2,2,,
National Institutes of Health,1,0,67,0,1,0,1,1,0,1,0,,
University of the Pacific,5,2,201,0,2,0,0.333,5,0,2,0,,
Washington State University,6,6,66,66,4,4,0.286,6,6,2,2,,
"Office of Atomic Energy, Saclay",4,3,81,62,2,1,0.333,4,3,2,1,,
University of New England,2,2,27,27,2,2,1,2,2,1,1,,
Louisiana Optical Network Initiative,1,1,2,2,1,1,1,1,1,0,0,,
University of Memphis,3,1,28,0,2,0,0.5,3,0,1,0,,
Albany State University,1,1,1,1,1,1,1,1,1,0,0,,
Lester Ingber Research,3,3,2,2,1,1,0.25,2,2,0,0,,
Indiana University-Purdue University Indianapolis,7,5,234,102,4,2,0.5,7,5,4,2,,
University of Illinois at Urbana-Champaign,184,149,1807,1142,22,17,0.957,36,28,48,33,,
Louisiana Tech University,1,1,0,0,0,0,0,0,0,0,0,,
University of Michigan,65,61,865,779,14,12,2,28,27,19,15,,
Smithsonian Astrophysical Observatory,1,1,15,15,1,1,1,1,1,1,1,,
US Geological Survey,5,3,70,19,4,2,0.571,5,3,3,1,,
NAGPUR UNIVERSITY,1,1,0,0,0,0,0,0,0,0,0,,
Cold Spring Harbor Laboratory,2,0,125,0,2,0,1,2,0,2,0,,
University of Alabama in Huntsville,1,1,5,5,1,1,1,1,1,0,0,,
Universite de Strasbourg,1,1,0,0,0,0,0,0,0,0,0,,
Boston University,9,5,113,23,5,2,0.714,9,5,4,1,,
Emory University,7,7,36,36,2,2,0.5,6,6,2,2,,
University of Burgundy,1,0,3,0,1,0,1,1,0,0,0,,
Morgan State University,1,1,0,0,0,0,0,0,0,0,0,,
Space Science Institute,2,2,28,28,2,2,0.4,2,2,2,2,,
Drake University,8,7,58,33,3,3,0.3,8,6,2,1,,
Institute of Bioorganic Chemistry Polish Academy of Sciences,1,0,4,0,1,0,1,1,0,0,0,,
Korea Institute for Advanced Study,1,1,3,3,1,1,1,1,1,0,0,,
SUNY at Binghamton,8,8,46,46,2,2,0.4,7,7,1,1,,
Florida State University,19,19,80,80,5,5,1.25,9,9,2,2,,
Drexel University,22,20,220,91,6,6,0.429,15,10,4,2,,
Macquarie University,1,1,6,6,1,1,1,1,1,0,0,,
National Cancer Institute,1,0,3,0,1,0,1,1,0,0,0,,
Vanguard University of Southern California,1,1,0,0,0,0,0,0,0,0,0,,
Toyota Technological Institute at Chicago,2,1,26,2,2,1,0.667,2,1,1,0,,
"Pennsylvania State University Erie, The Behrend College",4,4,72,72,3,3,0.75,4,4,3,3,,
Japan Agency for Marine-Earth Science and Technology,2,2,19,19,2,2,1,2,2,1,1,,
University of Illinois at Chicago,8,5,181,5,4,1,0.667,8,3,3,0,,
Barnard College,1,0,1,0,1,0,1,1,0,0,0,,
University of Minnesota,15,15,99,99,6,6,1.2,10,10,5,5,,
Central Michigan University,2,2,3,3,1,1,1,2,2,0,0,,
New Mexico State University,8,7,15,9,3,2,0.429,4,3,0,0,,
College of William and Mary,4,4,12,12,2,2,1,4,4,0,0,,
Pukyung National University,1,1,1,1,1,1,1,1,1,0,0,,
Hamline University,1,1,41,41,1,1,1,1,1,1,1,,
Naval Postgraduate School,2,2,2,2,1,1,0.5,2,2,0,0,,
"University of Maryland, Baltimore",7,7,92,92,5,5,1.25,7,7,4,4,,
Iowa State University,23,22,108,95,7,6,1.167,10,9,4,3,,
Montana State University,1,1,0,0,0,0,0,0,0,0,0,,
Johns Hopkins University,44,42,318,305,9,9,1.5,17,17,9,8,,
Oregon State University,6,6,67,67,2,2,0.4,6,6,1,1,,
Duquesne University,3,3,26,26,3,3,0.75,3,3,1,1,,
IBM T.J. Watson Research Center,1,1,0,0,0,0,0,0,0,0,0,,
Hoover Institution,1,1,0,0,0,0,0,0,0,0,0,,
"University of North Carolina, Chapel Hill",7,5,72,67,3,2,0.375,7,5,2,2,,
Nicolaus Copernicus Astronomical Center Polish Academy of Sciences,1,1,1,1,1,1,1,1,1,0,0,,
Lehigh University,13,10,165,90,6,5,0.857,13,10,6,3,,
US Pacific Basin Agricultural Research Center,1,1,1,1,1,1,1,1,1,0,0,,
Clarkson University,1,1,0,0,0,0,0,0,0,0,0,,
"University of California, San Francisco",6,5,39,31,4,3,0.5,6,5,2,2,,
Harbin Institute of Technology,1,1,1,1,1,1,1,1,1,0,0,,
North Carolina Central University,2,2,0,0,0,0,0,0,0,0,0,,
North Carolina A&T State University,2,2,4,4,1,1,0.333,2,2,0,0,,
SUNY Health Science Center at Syracuse,1,1,2,2,1,1,1,1,1,0,0,,
Nanjing University,1,1,2,2,1,1,1,1,1,0,0,,
University College London,3,2,4,0,1,0,0.333,2,0,0,0,,
Hampton University,2,1,0,0,0,0,0,0,0,0,0,,
University of Illinois at Springfield,1,0,3,0,1,0,1,1,0,0,0,,
Zhejiang University,1,0,3,0,1,0,1,1,0,0,0,,
University of Texas Health Science Center at San Antonio,3,3,3,3,1,1,0.25,2,2,0,0,,
University of Virginia,27,25,370,283,8,8,1.333,20,17,8,6,,
University Corporation for Atmospheric Research,1,1,4,4,1,1,1,1,1,0,0,,
Montpellier 2 University,1,1,1,1,1,1,1,1,1,0,0,,
"University of Massachusetts, Amherst",10,8,231,34,5,3,0.625,10,6,4,2,,
Washburn University,1,0,1,0,1,0,1,1,0,0,0,,
University of Siena,2,2,5,5,1,1,1,2,2,0,0,,
Clemson University,4,3,177,14,2,1,0.286,4,3,2,1,,
Yale University,15,11,545,96,9,5,1,15,10,8,4,,
Northeastern University,10,6,270,154,7,4,1,10,6,7,4,,
"University of Hawaii, Manoa",1,1,4,4,1,1,1,1,1,0,0,,
University of Arizona,25,16,842,425,12,9,1.5,25,16,12,7,,
Vienna University of Technology,3,1,163,21,3,1,0.429,3,1,3,1,,
Baylor College of Medicine,7,5,49,29,5,3,0.455,7,5,2,1,,
University of Oklahoma,35,32,311,240,11,9,1.571,17,15,11,9,,
National Institute of Standards and Technology,1,0,28,0,1,0,1,1,0,1,0,,
Individual Award/Unaffiliated,5,5,4,4,2,2,1,2,2,0,0,,
Jefferson Laboratory,1,0,13,0,1,0,1,1,0,1,0,,
"VorCat, Inc.",1,0,5,0,1,0,1,1,0,0,0,,
Autonomous University of Madrid,3,1,74,21,3,1,0.375,3,1,3,1,,
Albert Einstein College of Medicine,3,3,4,4,1,1,0.333,2,2,0,0,,
University of Zurich,1,1,0,0,0,0,0,0,0,0,0,,
Multidisciplinary Center for Astrophysics,7,6,135,123,6,5,1,7,6,3,2,,
"University of California, Davis",22,16,576,82,8,5,1,22,9,8,3,,
University of Connecticut,8,8,82,82,5,5,1.667,8,8,4,4,,
National Renewable Energy Laboratory,3,3,7,7,1,1,1,3,3,0,0,,
Mississippi State University,3,3,12,12,1,1,0.2,3,3,1,1,,
Institute of High Energy Physics,1,1,33,33,1,1,1,1,1,1,1,,
Thomas Jefferson University,1,1,29,29,1,1,1,1,1,1,1,,
Heidelberg Institute for Theoretical Studies,3,2,132,22,3,2,0.6,3,2,2,1,,
Ball State University,1,0,163,0,1,0,1,1,0,1,0,,
University of Chicago,50,44,959,748,18,16,2,31,28,22,19,,
Colorado State University,4,3,32,19,3,3,0.6,4,3,2,1,,
The University of Texas at Arlington,1,1,1,1,1,1,1,1,1,0,0,,
Trinity College Dublin,1,1,0,0,0,0,0,0,0,0,0,,
University of California at San Diego,1,0,94,0,1,0,1,1,0,1,0,,
California State University-Northridge,6,6,47,47,3,3,0.75,6,6,2,2,,
Fayetteville State University,1,0,0,0,0,0,0,0,0,0,0,,
California State University-Long Beach,2,1,0,0,0,0,0,0,0,0,0,,
Huntsman Cancer Institute,3,3,32,32,2,2,1,3,3,1,1,,
"University of Colorado, Colorado Springs",1,0,67,0,1,0,1,1,0,1,0,,
University of New Mexico,9,9,25,25,3,3,0.6,5,5,0,0,,
Univeristy of California,1,1,0,0,0,0,0,0,0,0,0,,
University of Hong Kong,2,2,65,65,2,2,1,2,2,1,1,,
James Madison University,2,2,0,0,0,0,0,0,0,0,0,,
Jackson State University,9,9,52,52,4,4,0.8,8,8,2,2,,
University of Arkansas,11,10,125,58,5,4,0.833,11,8,4,3,,
