i10-index,location_city,# of Pubs,location_state,location_latitude,H-index (m),H-index (recent),location_longitude,G-index (recent),H-index,location_zip,location_street,i10-index (recent),# of Pubs (recent),Cited by (recent),Organization,G-index,Cited by
22,Santa Barbara,58,CA,34.416281,1.545,13,-119.846404,26,17,93106,5221 Cheadle Hall,13,48,671,"University of California, Santa Barbara",36,1273
1,,1,,,1,1,,1,1,,,1,1,12,Idaho National Laboratory,1,12
1,,2,,,0.2,1,,1,2,,,0,1,3,University of L'Aquila,2,41
9,New Brunswick,48,NJ,40.503796,1.286,9,-74.450510,15,9,08901-1281,83 Somerset St,8,45,249,"Rutgers, the State University of New Jersey",16,289
2,,5,,,0.75,3,,5,3,,,2,5,50,Lawrence Berkeley National Laboratory,5,50
0,,1,,,0,0,,0,0,,,0,1,0,University of Tubingen,0,0
2,Santa Cruz,3,CA,36.997258,1.5,3,-122.067993,3,3,95064-1011,1156 High St,2,3,201,"University of California, Santa Cruz",3,201
1,,2,,,0.333,1,,2,1,,,1,2,715,Dresden University of Technology,2,715
0,Commerce,1,TX,33.243814,1,1,-95.906913,1,1,75429-3011,2600 South Neal,0,1,1,"Texas A&M University, Commerce",1,1
0,High Point,1,NC,36.051087,0,0,-79.958170,0,0,27265,"4050 Piedmont Parkway, Ste 110",0,1,0,"Institute of High Energy Physics, CAS",0,0
1,Miami,1,FL,25.757111,1,1,-80.377591,1,1,33199,11200 S. W. 8 Street,1,1,10,Florida International University,1,10
17,Princeton,33,NJ,40.348530,2.6,13,-74.663603,25,13,08544-0070,1 Nassau Hall,17,33,587,Princeton University,25,587
3,,14,,,0.5,2,,4,5,,,0,8,14,San Diego Supercomputer Center,14,229
0,Indianapolis,1,IN,39.815340,1,1,-86.204599,1,1,46222-1997,3200 Cold Spring Rd,0,1,3,Marian University,1,3
0,Birmingham,1,AL,33.502230,1,1,-86.809170,1,1,35294-0110,Administration Bldg Suite 1070,0,1,2,"University of Alabama, Birmingham",1,2
1,Swarthmore,3,PA,39.904081,0.667,1,-75.356066,2,2,19081,500 College Ave,0,2,6,Swarthmore College,3,30
1,,1,,,1,1,,1,1,,,1,1,257,Harvard-Smithsonian Center for Astrophysics,1,257
0,,2,,,0.5,1,,2,1,,,0,2,2,Long Island University,2,2
0,Laramie,1,WY,41.311943,0,0,-105.572040,0,0,82071,Corner of Ninth and Ivinson,0,1,0,University of Wyoming,0,0
8,West Lafayette,40,IN,40.428206,0.533,6,-86.914435,22,8,47907-2040,Hovde Hall of Administration,4,28,451,Purdue University,28,765
29,Cambridge,78,MA,42.360095,1.889,16,-71.092115,30,17,02139-4307,77 Massachusetts Avenue,27,74,990,Massachusetts Institute of Technology,34,1267
1,Notre Dame,14,IN,41.703058,0.75,3,-86.238959,6,3,46556,400 Main Building,1,14,37,University of Notre Dame,6,37
5,,11,,,0.625,1,,2,5,,,0,4,3,Fermi National Accelerator Laboratory,11,493
2,,4,,,0.4,2,,3,2,,,2,3,85,University of Jena,4,87
0,Tallahassee,1,FL,30.428554,0,0,-84.285644,0,0,32307,1500 S Martin Luther King Jr Blvd,0,1,0,Florida A&M University,0,0
0,Kansas City,2,MO,39.035366,0,0,-94.578039,0,0,64110,5100 Rockhill Rd,0,2,0,"University of Missouri, Kansas City",0,0
5,Lawrence,23,KS,38.958551,1.167,7,-95.247618,12,7,66045,"Strong Hall, 1450 Jayhawk Blvd, Room 230",4,22,148,University of Kansas,13,158
0,,1,,,0,0,,0,0,,,0,1,0,Swiss Federal Institute of Technology in Lausanne,0,0
2,Haverford,3,PA,40.013368,0.75,3,-75.302562,3,3,19041-1392,370  Lancaster Ave,2,3,159,Haverford College,3,159
1,,1,,,1,0,,0,1,,,0,0,0,Computational Infrastructure for Geodynamics,1,24
0,,1,,,0,0,,0,0,,,0,1,0,University of Tokyo,0,0
0,Eugene,4,OR,44.044515,1,2,-123.073980,4,2,97403,110 Johnson Hall,0,4,15,University of Oregon,4,15
4,,4,,,0.167,3,,3,4,,,3,3,140,Salk Institute for Biological Studies,4,157
6,Newark,23,DE,39.679574,1,6,-75.752917,11,8,19716,104 Hullihen Hall,4,20,113,University of Delaware,23,562
0,,2,,,1,2,,2,2,,,0,2,11,University of Calgary,2,11
2,Durham,4,NC,36.001590,0.286,1,-78.942260,2,2,27708,103 Allen Bldg,0,2,2,Duke University,4,58
0,Medford,1,MA,42.406994,1,1,-71.121689,1,1,02155-5555, ,0,1,7,Tufts University,1,7
5,Stony Brook,16,NY,40.913138,0.538,4,-73.123595,8,7,11794,310 Administration Building,1,11,52,SUNY at Stony Brook,16,531
1,Athens,3,GA,33.956428,0.75,2,-83.374049,2,3,30602,Administration Building,0,2,8,University of Georgia,3,21
1,Dekalb,2,IL,41.933791,0.2,1,-88.766065,1,1,60115-2828,1425 W. Lincoln Hwy.,0,1,1,Northern Illinois University,2,164
2,,2,,,1,2,,2,2,,,2,2,65,University of Sussex,2,65
0,,1,,,1,1,,1,1,,,0,1,8,University of Gdansk,1,8
0,,1,,,1,1,,1,1,,,0,1,3,University of Alberta,1,3
6,Knoxville,28,TN,35.955093,1.333,7,-83.929696,16,8,37996,527 Andy Holt Tower,5,27,240,"University of Tennessee, Knoxville",19,350
0,Worcester,1,MA,42.251064,1,1,-71.823537,1,1,01610-1477,950 Main St,0,1,4,Clark University,1,4
3,,15,,,0.556,4,,9,5,,,2,13,78,Oak Ridge National Laboratory,15,241
11,Houston,24,TX,29.716485,1.111,9,-95.403625,15,10,77005-1827,6100 S Main,8,20,216,Rice University,19,338
2,,3,,,1,2,,3,2,,,2,3,88,University of Vienna,3,88
1,,1,,,1,0,,0,1,,,0,0,0,National Institutes of Health,1,67
2,Stockton,5,CA,37.980624,0.333,0,-121.307296,0,2,95211-0197,3601 Pacific Ave,0,2,0,University of the Pacific,5,201
2,Pullman,6,WA,46.730448,0.286,4,-117.158168,6,4,99164-5910,French Administration Building,2,6,66,Washington State University,6,66
2,,4,,,0.333,1,,3,2,,,1,3,62,"Office of Atomic Energy, Saclay",4,81
1,Biddeford,2,ME,43.458172,1,2,-70.385882,2,2,04005-9599,11 Hills Beach Rd,1,2,27,University of New England,2,27
0,,1,,,1,1,,1,1,,,0,1,2,Louisiana Optical Network Initiative,1,2
1,Memphis,3,TN,35.118874,0.5,0,-89.938062,0,2,38152,Southern Avenue,0,1,0,University of Memphis,3,28
0,Albany,1,GA,31.571395,1,1,-84.143060,1,1,31705,504 College Drive,0,1,1,Albany State University,1,1
0,,3,,,0.25,1,,2,1,,,0,3,2,Lester Ingber Research,2,2
4,Indianapolis,7,IN,39.772948,0.5,2,-86.172217,5,4,46202-5143,425 University Blvd,2,5,102,Indiana University-Purdue University Indianapolis,7,234
48,Champaign,184,IL,40.108864,0.957,17,-88.230309,28,22,61820-5711,601 E John Street,33,149,1142,University of Illinois at Urbana-Champaign,36,1807
0,Ruston,1,LA,32.525518,0,0,-92.649640,0,0,71272,305 Wisteria,0,1,0,Louisiana Tech University,0,0
19,Ann Arbor,65,MI,42.276061,2,12,-83.743121,27,14,48109,503 Thompson Street,15,61,779,University of Michigan,28,865
1,,1,,,1,1,,1,1,,,1,1,15,Smithsonian Astrophysical Observatory,1,15
3,,5,,,0.571,2,,3,4,,,1,3,19,US Geological Survey,5,70
0,,1,,,0,0,,0,0,,,0,1,0,NAGPUR UNIVERSITY,0,0
2,,2,,,1,0,,0,2,,,0,0,0,Cold Spring Harbor Laboratory,2,125
0,Huntsville,1,AL,34.722818,1,1,-86.638420,1,1,35899,301 Sparkman Dr,0,1,5,University of Alabama in Huntsville,1,5
0,,1,,,0,0,,0,0,,,0,1,0,Universite de Strasbourg,0,0
4,Boston,9,MA,42.349581,0.714,2,-71.099840,5,5,02215,One Silber Way,1,5,23,Boston University,9,113
2,Atlanta,7,GA,33.798836,0.5,2,-84.325782,6,2,30322,"408 Administration Building, 201 Dowman Drive",2,7,36,Emory University,6,36
0,,1,,,1,0,,0,1,,,0,0,0,University of Burgundy,1,3
0,Baltimore,1,MD,39.344235,0,0,-76.584238,0,0,21251-0001,1700 East Cold Spring Lane,0,1,0,Morgan State University,0,0
2,,2,,,0.4,2,,2,2,,,2,2,28,Space Science Institute,2,28
2,Des Moines,8,IA,41.603810,0.3,3,-93.654062,6,3,50311-4505,2507 University Avenue,1,7,33,Drake University,8,58
0,,1,,,1,0,,0,1,,,0,0,0,Institute of Bioorganic Chemistry Polish Academy of Sciences,1,4
0,,1,,,1,1,,1,1,,,0,1,3,Korea Institute for Advanced Study,1,3
1,Vestal,8,NY,42.088049,0.4,2,-75.971143,7,2,13850-6000,4400 Vestal Parkway East,1,8,46,SUNY at Binghamton,7,46
2,Tallahassee,19,FL,30.442100,1.25,5,-84.294801,9,5,32306-1037,222 S. Copeland Street,2,19,80,Florida State University,9,80
4,Philadelphia,22,PA,39.954855,0.429,6,-75.188745,10,6,19104,3141 Chestnut St,2,20,91,Drexel University,15,220
0,,1,,,1,1,,1,1,,,0,1,6,Macquarie University,1,6
0,,1,,,1,0,,0,1,,,0,0,0,National Cancer Institute,1,3
0,Costa Mesa,1,CA,33.662686,0,0,-117.900911,0,0,92626,55 Fair Dr,0,1,0,Vanguard University of Southern California,0,0
1,Chicago,2,IL,41.784570,0.667,1,-87.592521,1,2,60637,6045 S. Kenwood Avenue,0,1,2,Toyota Technological Institute at Chicago,2,26
3,Erie,4,PA,42.120271,0.75,3,-79.986362,4,3,16563-0001,4701 College Drive,3,4,72,"Pennsylvania State University Erie, The Behrend College",4,72
1,,2,,,1,2,,2,2,,,1,2,19,Japan Agency for Marine-Earth Science and Technology,2,19
3,Chicago,8,IL,41.872651,0.667,1,-87.651145,3,4,60607,601 S Morgan,0,5,5,University of Illinois at Chicago,8,181
0,New York,1,NY,40.809137,1,0,-73.964027,0,1,10027-6598,3009 Broadway,0,0,0,Barnard College,1,1
5,Minneapolis,15,MN,44.977886,1.2,6,-93.235352,10,6,55455-0213,100 Church Street SE,5,15,99,University of Minnesota,10,99
0,Mount Pleasant,2,MI,43.591137,1,1,-84.775275,2,1,48859,106 Warriner Hall,0,2,3,Central Michigan University,2,3
0,Las Cruces,8,NM,32.282875,0.429,2,-106.747841,3,3,88003-8001,2850 Weddell Street,0,7,9,New Mexico State University,4,15
0,Williamsburg,4,VA,37.271997,1,2,-76.709417,4,2,23187-8795,200 Richmond Road,0,4,12,College of William and Mary,4,12
0,,1,,,1,1,,1,1,,,0,1,1,Pukyung National University,1,1
1,Saint Paul,1,MN,44.965696,1,1,-93.163983,1,1,55104-1284,1536 Hewitt Avenue,1,1,41,Hamline University,1,41
0,Monterey,2,CA,36.597159,0.5,1,-121.874248,2,1,93943,1 University Circle,0,2,2,Naval Postgraduate School,2,2
4,Baltimore,7,MD,39.291510,1.25,5,-76.625041,7,5,21201-1627,620 West Lexington St,4,7,92,"University of Maryland, Baltimore",7,92
4,Ames,23,IA,42.026368,1.167,6,-93.648353,9,7,50011-2030,3410 Beardshear Hall,3,22,95,Iowa State University,10,108
0,Bozeman,1,MT,45.666829,0,0,-111.049918,0,0,59717,Montana State University,0,1,0,Montana State University,0,0
9,Baltimore,44,MD,39.328380,1.5,9,-76.620799,17,9,21218-2688,3400 N Charles St,8,42,305,Johns Hopkins University,17,318
1,Corvallis,6,OR,44.562740,0.4,2,-123.274721,6,2,97331,1500 S.W. Jefferson Avenue,1,6,67,Oregon State University,6,67
1,Pittsburgh,3,PA,40.437496,0.75,3,-79.993046,3,3,15282,Administration Bldg 600 Forbes Ave,1,3,26,Duquesne University,3,26
0,,1,,,0,0,,0,0,,,0,1,0,IBM T.J. Watson Research Center,0,0
0,,1,,,0,0,,0,0,,,0,1,0,Hoover Institution,0,0
2,Chapel Hill,7,NC,35.912165,0.375,2,-79.050969,5,3,27599,103 South Bldg Cb 9100,2,5,67,"University of North Carolina, Chapel Hill",7,72
0,,1,,,1,1,,1,1,,,0,1,1,Nicolaus Copernicus Astronomical Center Polish Academy of Sciences,1,1
6,Bethlehem,13,PA,40.607158,0.857,5,-75.378887,10,6,18015,27 Memorial Drive West,3,10,90,Lehigh University,13,165
0,,1,,,1,1,,1,1,,,0,1,1,US Pacific Basin Agricultural Research Center,1,1
0,Potsdam,1,NY,44.663761,0,0,-74.999947,0,0,13699,8 Clarkson Ave,0,1,0,Clarkson University,0,0
2,San Francisco,6,CA,37.762736,0.5,3,-122.458049,5,4,94143-0244,500 Parnassus Ave,2,5,31,"University of California, San Francisco",6,39
0,,1,,,1,1,,1,1,,,0,1,1,Harbin Institute of Technology,1,1
0,Durham,2,NC,35.974237,0,0,-78.898602,0,0,27707,1801 Fayetteville Street,0,2,0,North Carolina Central University,0,0
0,Greensboro,2,NC,36.076737,0.333,1,-79.770152,2,1,27411,1601 E Market  St,0,2,4,North Carolina A&T State University,2,4
0,,1,,,1,1,,1,1,,,0,1,2,SUNY Health Science Center at Syracuse,1,2
0,,1,,,1,1,,1,1,,,0,1,2,Nanjing University,1,2
0,,3,,,0.333,0,,0,1,,,0,2,0,University College London,2,4
0,Hampton,2,VA,37.019900,0,0,-76.331108,0,0,23668-0099,E Queen Street,0,1,0,Hampton University,0,0
0,Springfield,1,IL,39.729862,1,0,-89.614917,0,1,62703-5407,One University Plaza,0,0,0,University of Illinois at Springfield,1,3
0,,1,,,1,0,,0,1,,,0,0,0,Zhejiang University,1,3
0,San Antonio,3,TX,29.504716,0.25,1,-98.576060,2,1,78229-3900,7703 Floyd Curl Dr,0,3,3,University of Texas Health Science Center at San Antonio,2,3
8,Charlottesville,27,VA,38.037796,1.333,8,-78.505153,17,8,22903-2628,1827 University Avenue,6,25,283,University of Virginia,20,370
0,,1,,,1,1,,1,1,,,0,1,4,University Corporation for Atmospheric Research,1,4
0,,1,,,1,1,,1,1,,,0,1,1,Montpellier 2 University,1,1
4,Amherst,10,MA,42.386162,0.625,3,-72.526170,6,5,01003,374 Whitmore Building 181 Presidents Drive,2,8,34,"University of Massachusetts, Amherst",10,231
0,Topeka,1,KS,39.034977,1,0,-95.702325,0,1,66621-0001,1700 SW College Avenue,0,0,0,Washburn University,1,1
0,Adrian,2,MI,41.905952,1,1,-84.015144,2,1,49221,1247 E. Siena Heights Dr.,0,2,5,University of Siena,2,5
2,Clemson,4,SC,34.677329,0.286,1,-82.834463,3,2,29634,201 Sikes Hall,1,3,14,Clemson University,4,177
8,New Haven,15,CT,41.311158,1,5,-72.926688,10,9,06520,Woodbridge Hall,4,11,96,Yale University,15,545
7,Boston,10,MA,42.339992,1,4,-71.088782,6,7,02115-5005,360 Huntington Ave,4,6,154,Northeastern University,10,270
0,Honolulu,1,HI,21.292648,1,1,-157.816607,1,1,96822-2217,"2500 Campus Road, Hawaii Hall",0,1,4,"University of Hawaii, Manoa",1,4
12,Tucson,25,AZ,32.232071,1.5,9,-110.950769,16,12,85721-0066,1401 E University,7,16,425,University of Arizona,25,842
3,,3,,,0.429,1,,1,3,,,1,1,21,Vienna University of Technology,3,163
2,Houston,7,TX,29.710600,0.455,3,-95.395743,5,5,77030-3498,One Baylor Plaza,1,5,29,Baylor College of Medicine,7,49
11,Norman,35,OK,35.208152,1.571,9,-97.445692,15,11,73019-3072,660 Parrington Oval,9,32,240,University of Oklahoma,17,311
1,,1,,,1,0,,0,1,,,0,0,0,National Institute of Standards and Technology,1,28
0,,5,,,1,2,,2,2,,,0,5,4,Individual Award/Unaffiliated,2,4
1,,1,,,1,0,,0,1,,,0,0,0,Jefferson Laboratory,1,13
0,,1,,,1,0,,0,1,,,0,0,0,"VorCat, Inc.",1,5
3,,3,,,0.375,1,,1,3,,,1,1,21,Autonomous University of Madrid,3,74
0,Poteau,3,OK,35.038210,0.333,1,-94.633830,2,1,74953-5208,1507 S McKenna,0,3,4,Albert Einstein College of Medicine,2,4
0,,1,,,0,0,,0,0,,,0,1,0,University of Zurich,0,0
3,,7,,,1,5,,6,6,,,2,6,123,Multidisciplinary Center for Astrophysics,7,135
8,Davis,22,CA,38.539895,1,5,-121.751958,9,8,95616-8678,One Shields Avenue,3,16,82,"University of California, Davis",22,576
4,Storrs,8,CT,41.806261,1.667,5,-72.247969,8,5,06269,352 Mansfield Road,4,8,82,University of Connecticut,8,82
0,,3,,,1,1,,3,1,,,0,3,7,National Renewable Energy Laboratory,3,7
1,Mississippi State,3,MS,33.454809,0.2,1,-88.788979,3,1,39762,Lee Boulevard,1,3,12,Mississippi State University,3,12
1,High Point,1,NC,36.051087,1,1,-79.958170,1,1,27265,"4050 Piedmont Parkway, Ste 110",1,1,33,Institute of High Energy Physics,1,33
1,Philadelphia,1,PA,39.949062,1,1,-75.158147,1,1,19107,1020 Walnut Street,1,1,29,Thomas Jefferson University,1,29
2,,3,,,0.6,2,,2,3,,,1,2,22,Heidelberg Institute for Theoretical Studies,3,132
1,Muncie,1,IN,40.198942,1,0,-85.408863,0,1,47306,2000 University Ave,0,0,0,Ball State University,1,163
22,Chicago,50,IL,41.789170,2,16,-87.601196,28,18,60637,5801 S Ellis Ave,19,44,748,University of Chicago,31,959
2,Fort Collins,4,CO,40.574759,0.6,3,-105.080830,3,3,80523-0100,102 Administration Building,1,3,19,Colorado State University,4,32
0,Arlington,1,TX,32.728437,1,1,-97.115087,1,1,76013,701 S. Nedderman Dr.,0,1,1,The University of Texas at Arlington,1,1
0,,1,,,0,0,,0,0,,,0,1,0,Trinity College Dublin,0,0
1,La Jolla,1,CA,32.876598,1,0,-117.237793,0,1,92093,9500 Gilman Dr,0,0,0,University of California at San Diego,1,94
2,Northridge,6,CA,34.236710,0.75,3,-118.526817,6,3,91330,18111 Nordhoff St,2,6,47,California State University-Northridge,6,47
0,Fayetteville,1,NC,35.072485,0,0,-78.894709,0,0,28301-4298,1200 Murchison Rd,0,0,0,Fayetteville State University,0,0
0,Long Beach,2,CA,33.782752,0,0,-118.112300,0,0,90840-0115,1250 Bellflower Blvd,0,1,0,California State University-Long Beach,0,0
1,,3,,,1,2,,3,2,,,1,3,32,Huntsman Cancer Institute,3,32
1,Colorado Springs,1,CO,38.892735,1,0,-104.800296,0,1,80918,1420 Austin Bluffs Parkway,0,0,0,"University of Colorado, Colorado Springs",1,67
0,Albuquerque,9,NM,35.083868,0.6,3,-106.620155,5,3,87106,1700 Lomas Blvd NE,0,9,25,University of New Mexico,5,25
0,,1,,,0,0,,0,0,,,0,1,0,Univeristy of California,0,0
1,,2,,,1,2,,2,2,,,1,2,65,University of Hong Kong,2,65
0,Harrisonburg,2,VA,38.435332,0,0,-78.871663,0,0,22807,800 South Main Street,0,2,0,James Madison University,0,0
2,Jackson,9,MS,32.296781,0.8,4,-90.206630,8,4,39217,1400 J R Lynch Street,2,9,52,Jackson State University,8,52
4,Fayetteville,11,AR,36.061530,0.833,4,-94.178214,8,5,72701,Administration Bldg 425,3,10,58,University of Arkansas,11,125
